variable_id,class_id,semantic_folder,execution_queue,freeze_or_route_action,current_build_status,owner_approval_status,dependency_or_split_identity,unlock_condition,allowed_next_work,queue_reason,audit_rationale,dictionary_hit_count,dictionary_hit_tables
std_oxygen_saturation_bg_arterial_specimen,class1_event_level_numeric,laboratory,Q3_hold_candidate_problem_found,freeze_candidate_evidence_do_not_approve,built_runtime_repro_pass,not_owner_approved,specimen_boundary_not_proven,resolve the material candidate problem and rebuild/review before any owner approval,preserve existing candidate runtime evidence; do not expand same-name approval,Amsterdam candidate is almost identical to all-specimen blood-gas oxygen saturation and lacks a universal structured arterial specimen proof.,Amsterdam numericitems/dictionary evidence supports a direct event-level candidate with low semantic risk.,31,listitems:20;numericitems:11
std_pt,class1_event_level_numeric,laboratory,Q3_hold_candidate_problem_found,freeze_candidate_evidence_do_not_approve,built_runtime_repro_pass,not_owner_approved,unit_distribution_conflict,resolve the material candidate problem and rebuild/review before any owner approval,preserve existing candidate runtime evidence; do not expand same-name approval,"Amsterdam legacy seconds-labeled prothrombin-time source has an INR-like distribution, not a PT-seconds distribution.",Amsterdam numericitems/dictionary evidence supports a direct event-level candidate with low semantic risk.,136,drugitems:30;freetextitems:54;listitems:19;numericitems:28;procedureorderitems:2;processitems:3
std_advanced_respiratory_support_active,class3_binary_state_episode,treatment_state,Q3_hold_candidate_problem_found,freeze_candidate_evidence_do_not_approve,built_runtime_repro_pass,not_owner_approved,source_family_gap_hfnc_missing,resolve the material candidate problem and rebuild/review before any owner approval,preserve existing candidate runtime evidence; do not expand same-name approval,"Amsterdam governed build now exists from approved IMV and NIV parents, but the public same-name concept includes HFNC and no narrow Amsterdam HFNC source is approved in the current source surface.",Required parent support layers are already approved or source-bounded enough for the next governed candidate.,101,drugitems:2;listitems:83;numericitems:16
std_discharge_disposition,class7_diagnosis_admin_demographic_id_map,outcomes,Q3_hold_candidate_problem_found,freeze_candidate_evidence_do_not_approve,built_runtime_repro_pass,not_owner_approved,local_destination_code_dictionary_missing,resolve the material candidate problem and rebuild/review before any owner approval,preserve existing candidate runtime evidence; do not expand same-name approval,"Amsterdam governed build now exists from admissions_core.destination, but most retained destination values are numeric local codes without an approved destination-code dictionary for same-name grouped discharge disposition.",Amsterdam admissions_core has local origin/destination/discharge context for governed review.,0,
std_icu_exit_destination,class7_diagnosis_admin_demographic_id_map,encounter_information,Q3_hold_candidate_problem_found,freeze_candidate_evidence_do_not_approve,built_runtime_repro_pass,not_owner_approved,local_destination_code_dictionary_missing,resolve the material candidate problem and rebuild/review before any owner approval,preserve existing candidate runtime evidence; do not expand same-name approval,"Amsterdam governed build now exists from admissions_core.destination, but most retained destination values are numeric local codes without an approved destination-code dictionary for same-name ICU exit destination.",Amsterdam admissions_core has local origin/destination/discharge context for governed review.,0,
std_days_to_first_icu_post_entry_intubation,class2_baseline_summary_window_numeric,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved intubation or IMV/post-entry procedure parent,lock post-ICU-entry start anchor and first-event selection rule,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",326,listitems:320;numericitems:6
std_days_to_first_icu_post_entry_tracheostomy,class2_baseline_summary_window_numeric,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved tracheostomy observed/status parent,lock post-entry anchor and source-status boundary,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",326,listitems:320;numericitems:6
std_first_day_crrt_family_official_window_summary,class2_baseline_summary_window_numeric,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved event-level parent variable and governed summary/window rule,"lock parent asset, anchor, lookback/lookforward window, and summary statistic",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",38,listitems:9;numericitems:29
std_first_day_crrt_family_post_icu_24h_summary,class2_baseline_summary_window_numeric,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved event-level parent variable and governed summary/window rule,"lock parent asset, anchor, lookback/lookforward window, and summary statistic",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",359,listitems:329;numericitems:30
std_first_day_rrt_official_window_summary,class2_baseline_summary_window_numeric,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved event-level parent variable and governed summary/window rule,"lock parent asset, anchor, lookback/lookforward window, and summary statistic",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",0,
std_first_day_rrt_post_icu_24h_summary,class2_baseline_summary_window_numeric,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved event-level parent variable and governed summary/window rule,"lock parent asset, anchor, lookback/lookforward window, and summary statistic",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",324,listitems:320;numericitems:4
std_icu_readmission_same_hadm,class2_baseline_summary_window_numeric,outcomes,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved event-level parent variable and governed summary/window rule,"lock parent asset, anchor, lookback/lookforward window, and summary statistic",engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam ICU/MCU timing can support a bounded candidate, but the source window and denominator must be governed.",0,
std_first_day_crrt_family_official_window_episode_clip,class5_episode_interval_bridge,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam has ICU/MCU interval evidence, but parent-link or follow-up bridge rules must be proven.",38,listitems:9;numericitems:29
std_first_day_crrt_family_post_icu_24h_episode_clip,class5_episode_interval_bridge,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam has ICU/MCU interval evidence, but parent-link or follow-up bridge rules must be proven.",359,listitems:329;numericitems:30
std_first_day_rrt_official_window_episode_clip,class5_episode_interval_bridge,treatment_state,Q5_deferred_pending_approved_parent,defer_until_parent_or_component_approved,not_built,not_owner_approved,approved upstream parent or component family,lock parent/component identity and candidate denominator before approval-facing build,engineering-only dry-run is allowed only with explicit non-approval label,"Variable requires upstream window, bridge, score, phenotype, or component evidence before approval-facing build.","Amsterdam has ICU/MCU interval evidence, but parent-link or follow-up bridge rules must be proven.",0,
