variable_id,semantic_folder,value_type,grain,class_id,amsterdam_status_bucket,amsterdam_phase,amsterdam_already_public_covered,dictionary_hit_count,dictionary_hit_tables,priority_tier,rationale
std_aado2,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_aado2_calc,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,27,drugitems:14;numericitems:12;procedureorderitems:1,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_advanced_respiratory_support_active,treatment_state,state_episode,icu_stay_episode,class3_binary_state_episode,same_name_ready,derivable_from_approved_support_family,False,101,drugitems:2;listitems:83;numericitems:16,3_ready_after_current_batch,Required parent support layers are already approved or source-bounded enough for the next governed candidate.
std_age,demographics,numeric_integer,encounter,class7_diagnosis_admin_demographic_id_map,split_identity_needed,age_group_not_exact_age,False,0,,9_not_in_ready_batch,"Amsterdam exposes agegroup, not exact MIMIC-like age; grouped-age identity is needed for exactness."
std_aki_kdigo,diagnosis_computable,mixed_numeric_or_text,ICU stay,class8_score_phenotype_composite_derived,bounded_candidate_only,score_or_phenotype_component_review_needed,False,0,,9_not_in_ready_batch,"Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed."
std_albumin,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,direct_numeric_source_ready,False,7,drugitems:1;numericitems:6,2_numeric_spine_later,Amsterdam numericitems/dictionary evidence supports a direct event-level candidate with low semantic risk.
std_albumin_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,7,drugitems:1;numericitems:6,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_albumin_creatinine_ratio_urine,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,51,drugitems:2;freetextitems:1;listitems:17;numericitems:31,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_albumin_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,7,drugitems:1;numericitems:6,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_albumin_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,7,drugitems:1;numericitems:6,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_albumin_urine,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,7,drugitems:1;numericitems:6,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_alp,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_alt,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_amylase,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,8,numericitems:8,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_amylase_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,8,numericitems:8,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_amylase_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,8,numericitems:8,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_amylase_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,specimen_or_body_fluid_scope_needs_review,False,8,numericitems:8,9_not_in_ready_batch,"Dictionary evidence exists, but specimen/body-fluid identity needs item-level source review before approval."
std_anion_gap,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,1,numericitems:1,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_antithrombin_activity,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,bounded_candidate_only,numeric_dictionary_hit_needs_item_review,False,3,numericitems:3,9_not_in_ready_batch,"Amsterdam dictionary has candidate numeric items, but this long-tail variable needs item-level review."
std_apsiii,scores,numeric score,ICU stay,class8_score_phenotype_composite_derived,bounded_candidate_only,score_or_phenotype_component_review_needed,False,0,,9_not_in_ready_batch,"Amsterdam may support score/phenotype construction, but component trace and timing rules must be governed."
std_aptt,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,same_name_ready,direct_numeric_source_ready,False,9,freetextitems:1;numericitems:7;procedureorderitems:1,2_numeric_spine_later,Amsterdam numericitems/dictionary evidence supports a direct event-level candidate with low semantic risk.
std_ast,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocyte_pct,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocytes_pct_ascites,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocytes_pct_csf,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocytes_pct_joint_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocytes_pct_other_body_fluid,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
std_atypical_lymphocytes_pct_pleural,laboratory,numeric measurement,event-level measurement,class1_event_level_numeric,not_supported_or_blocked,no_dictionary_hit_in_opening_scan,False,0,,9_not_in_ready_batch,No clear Amsterdam item-dictionary hit was found in the opening scan.
